treat.pair,site,disturbance.type,disturbed/control,ht,lad,lowCI,uppCI
8,Careiro Castanho,fire (igapo),disturbed,2,0,0,0
8,Careiro Castanho,fire (igapo),disturbed,3,0.026515411,0.020539919,0.032490904
8,Careiro Castanho,fire (igapo),disturbed,4,0.063773859,0.048014827,0.079532891
8,Careiro Castanho,fire (igapo),disturbed,5,0.062677131,0.043518194,0.081836069
8,Careiro Castanho,fire (igapo),disturbed,6,0.05707162,0.041990356,0.072152884
8,Careiro Castanho,fire (igapo),disturbed,7,0.082936648,0.060245288,0.105628008
8,Careiro Castanho,fire (igapo),disturbed,8,0.084018374,0.061443344,0.106593404
8,Careiro Castanho,fire (igapo),disturbed,9,0.086857604,0.062989904,0.110725304
8,Careiro Castanho,fire (igapo),disturbed,10,0.087660057,0.064660491,0.110659622
8,Careiro Castanho,fire (igapo),disturbed,11,0.083184863,0.060822474,0.105547251
8,Careiro Castanho,fire (igapo),disturbed,12,0.070322545,0.050879804,0.089765286
8,Careiro Castanho,fire (igapo),disturbed,13,0.072609184,0.05186993,0.093348438
8,Careiro Castanho,fire (igapo),disturbed,14,0.077563794,0.055669342,0.099458246
8,Careiro Castanho,fire (igapo),disturbed,15,0.076567684,0.056721435,0.096413933
8,Careiro Castanho,fire (igapo),disturbed,16,0.083629298,0.057108946,0.11014965
8,Careiro Castanho,fire (igapo),disturbed,17,0.082398813,0.059921283,0.104876343
8,Careiro Castanho,fire (igapo),disturbed,18,0.062838782,0.043546845,0.082130719
8,Careiro Castanho,fire (igapo),disturbed,19,0.078787166,0.053532942,0.10404139
8,Careiro Castanho,fire (igapo),disturbed,20,0.06614374,0.042405535,0.089881945
8,Careiro Castanho,fire (igapo),disturbed,21,0.062366602,0.041499776,0.083233427
8,Careiro Castanho,fire (igapo),disturbed,22,0.061150581,0.040141988,0.082159175
8,Careiro Castanho,fire (igapo),disturbed,23,0.053346343,0.034826358,0.071866328
8,Careiro Castanho,fire (igapo),disturbed,24,0.040766077,0.024402984,0.057129171
8,Careiro Castanho,fire (igapo),disturbed,25,0.030166557,0.015028141,0.045304973
8,Careiro Castanho,fire (igapo),disturbed,26,0.019144767,0.008210889,0.030078645
8,Careiro Castanho,fire (igapo),disturbed,27,0.011382247,0.003538769,0.019225725
8,Careiro Castanho,fire (igapo),disturbed,28,0.005458812,0.000477802,0.010439821
8,Careiro Castanho,fire (igapo),disturbed,29,0.009312736,-0.000572969,0.01919844
8,Careiro Castanho,fire (igapo),disturbed,30,0.008927896,-0.002711248,0.02056704
8,Careiro Castanho,fire (igapo),disturbed,31,0.003371457,-0.00106099,0.007803905
8,Careiro Castanho,fire (igapo),disturbed,32,0.003582764,-0.00236629,0.009531819
8,Careiro Castanho,fire (igapo),disturbed,33,0.001968674,-0.00094171,0.004879059
8,Careiro Castanho,fire (igapo),disturbed,34,0.000764657,-0.000331455,0.001860769
8,Careiro Castanho,fire (igapo),disturbed,35,0.00015574,-6.39E-05,0.000375363
8,Careiro Castanho,fire (igapo),disturbed,36,1.60E-05,-1.12E-05,4.31E-05
8,Careiro Castanho,fire (igapo),disturbed,37,6.08E-07,-5.84E-07,1.80E-06
8,Careiro Castanho,fire (igapo),disturbed,38,1.27E-06,-1.22E-06,3.75E-06
8,Careiro Castanho,fire (igapo),disturbed,39,1.27E-06,-9.29E-07,3.47E-06
8,Careiro Castanho,fire (igapo),disturbed,40,1.22E-06,-1.17E-06,3.60E-06
8,Careiro Castanho,fire (igapo),disturbed,41,6.01E-07,-3.18E-07,1.52E-06
8,Careiro Castanho,fire (igapo),disturbed,42,1.59E-07,-1.52E-07,4.69E-07
8,Careiro Castanho,fire (igapo),disturbed,43,3.01E-07,-2.89E-07,8.92E-07
8,Careiro Castanho,fire (igapo),disturbed,44,0,0,0
8,Careiro Castanho,fire (igapo),disturbed,45,0,0,0
8,Careiro Castanho,fire (igapo),disturbed,46,0,0,0
8,Careiro Castanho,fire (igapo),disturbed,47,0,0,0
8,Careiro Castanho,fire (igapo),disturbed,48,0,0,0
8,Careiro Castanho,fire (igapo),disturbed,49,0,0,0
8,Careiro Castanho,fire (igapo),disturbed,50,0,0,0
8,Careiro Castanho,fire (igapo),disturbed,51,0,0,0
8,Careiro Castanho,fire (igapo),disturbed,52,0,0,0
8,Careiro Castanho,fire (igapo),disturbed,53,0,0,0
8,Careiro Castanho,fire (igapo),disturbed,54,0,0,0
8,Careiro Castanho,fire (igapo),disturbed,55,0,0,0
8,Careiro Castanho,fire (igapo),disturbed,56,0,0,0
8,Careiro Castanho,fire (igapo),disturbed,57,0,0,0
8,Careiro Castanho,fire (igapo),disturbed,58,0,0,0
8,Careiro Castanho,fire (igapo),disturbed,59,0,0,0
8,Careiro Castanho,fire (igapo),disturbed,60,0,0,0
9,BDFFP (Florestal),clearing and regrowth,control,1,0,0,0
9,BDFFP (Florestal),clearing and regrowth,control,2,0,0,0
9,BDFFP (Florestal),clearing and regrowth,control,3,0.296969117,0.263289543,0.330648691
9,BDFFP (Florestal),clearing and regrowth,control,4,0.562783362,0.5146526,0.610914124
9,BDFFP (Florestal),clearing and regrowth,control,5,0.347694981,0.306958356,0.388431606
9,BDFFP (Florestal),clearing and regrowth,control,6,0.289056736,0.25212076,0.325992711
9,BDFFP (Florestal),clearing and regrowth,control,7,0.26939563,0.23106835,0.307722909
9,BDFFP (Florestal),clearing and regrowth,control,8,0.290764395,0.251321569,0.330207221
9,BDFFP (Florestal),clearing and regrowth,control,9,0.277327817,0.237307969,0.317347664
9,BDFFP (Florestal),clearing and regrowth,control,10,0.227287361,0.189946103,0.264628618
9,BDFFP (Florestal),clearing and regrowth,control,11,0.214351271,0.183167649,0.245534894
9,BDFFP (Florestal),clearing and regrowth,control,12,0.261657177,0.222558167,0.300756187
9,BDFFP (Florestal),clearing and regrowth,control,13,0.207154667,0.167980061,0.246329273
9,BDFFP (Florestal),clearing and regrowth,control,14,0.211266175,0.173378125,0.249154224
9,BDFFP (Florestal),clearing and regrowth,control,15,0.233408782,0.195227543,0.271590021
9,BDFFP (Florestal),clearing and regrowth,control,16,0.235282324,0.194475754,0.276088893
9,BDFFP (Florestal),clearing and regrowth,control,17,0.231675891,0.191087095,0.272264687
9,BDFFP (Florestal),clearing and regrowth,control,18,0.216949267,0.178532703,0.25536583
9,BDFFP (Florestal),clearing and regrowth,control,19,0.194436947,0.158920616,0.229953277
9,BDFFP (Florestal),clearing and regrowth,control,20,0.174375564,0.143279467,0.20547166
9,BDFFP (Florestal),clearing and regrowth,control,21,0.172476053,0.141415564,0.203536541
9,BDFFP (Florestal),clearing and regrowth,control,22,0.147052257,0.117533727,0.176570787
9,BDFFP (Florestal),clearing and regrowth,control,23,0.149217175,0.118379579,0.180054772
9,BDFFP (Florestal),clearing and regrowth,control,24,0.125535869,0.095068253,0.156003485
9,BDFFP (Florestal),clearing and regrowth,control,25,0.115958528,0.084414108,0.147502948
9,BDFFP (Florestal),clearing and regrowth,control,26,0.141696398,0.104211818,0.179180977
9,BDFFP (Florestal),clearing and regrowth,control,27,0.123634432,0.090725301,0.156543564
9,BDFFP (Florestal),clearing and regrowth,control,28,0.100532411,0.072339064,0.128725757
9,BDFFP (Florestal),clearing and regrowth,control,29,0.06072208,0.037410365,0.084033796
9,BDFFP (Florestal),clearing and regrowth,control,30,0.070303333,0.0492794,0.091327266
9,BDFFP (Florestal),clearing and regrowth,control,31,0.063508167,0.040041897,0.086974437
9,BDFFP (Florestal),clearing and regrowth,control,32,0.040219798,0.020880639,0.059558957
9,BDFFP (Florestal),clearing and regrowth,control,33,0.013272651,0.004415037,0.022130265
9,BDFFP (Florestal),clearing and regrowth,control,34,0.006339069,0.002556498,0.010121641
9,BDFFP (Florestal),clearing and regrowth,control,35,0.016974492,0.003270139,0.030678845
9,BDFFP (Florestal),clearing and regrowth,control,36,0.007595683,0.000637113,0.014554253
9,BDFFP (Florestal),clearing and regrowth,control,37,0.002147032,-0.000722376,0.005016441
9,BDFFP (Florestal),clearing and regrowth,control,38,0.004292386,-0.003103891,0.011688663
9,BDFFP (Florestal),clearing and regrowth,control,39,0.001854934,-0.001665556,0.005375424
9,BDFFP (Florestal),clearing and regrowth,control,40,0.000462105,-0.00044362,0.00136783
9,BDFFP (Florestal),clearing and regrowth,control,41,0.002002429,-0.00183825,0.005843109
9,BDFFP (Florestal),clearing and regrowth,control,42,0.000107389,-0.000103094,0.000317872
9,BDFFP (Florestal),clearing and regrowth,control,43,0,0,0
9,BDFFP (Florestal),clearing and regrowth,control,44,0,0,0
9,BDFFP (Florestal),clearing and regrowth,control,45,0,0,0
9,BDFFP (Florestal),clearing and regrowth,control,46,0,0,0
9,BDFFP (Florestal),clearing and regrowth,control,47,0,0,0
9,BDFFP (Florestal),clearing and regrowth,control,48,0,0,0
9,BDFFP (Florestal),clearing and regrowth,control,49,0,0,0
9,BDFFP (Florestal),clearing and regrowth,control,50,0,0,0
9,BDFFP (Florestal),clearing and regrowth,control,51,0,0,0
9,BDFFP (Florestal),clearing and regrowth,control,52,0,0,0
9,BDFFP (Florestal),clearing and regrowth,control,53,0,0,0
9,BDFFP (Florestal),clearing and regrowth,control,54,0,0,0
9,BDFFP (Florestal),clearing and regrowth,control,55,0,0,0
9,BDFFP (Florestal),clearing and regrowth,control,56,0,0,0
9,BDFFP (Florestal),clearing and regrowth,control,57,0,0,0
9,BDFFP (Florestal),clearing and regrowth,control,58,0,0,0
9,BDFFP (Florestal),clearing and regrowth,control,59,0,0,0
9,BDFFP (Florestal),clearing and regrowth,control,60,0,0,0
9,BDFFP (Cecropia),clearing and regrowth,disturbed,1,0,0,0
9,BDFFP (Cecropia),clearing and regrowth,disturbed,2,0,0,0
9,BDFFP (Cecropia),clearing and regrowth,disturbed,3,0.259551269,0.232395077,0.28670746
9,BDFFP (Cecropia),clearing and regrowth,disturbed,4,0.478212005,0.430282572,0.526141438
9,BDFFP (Cecropia),clearing and regrowth,disturbed,5,0.382544078,0.343147106,0.42194105
9,BDFFP (Cecropia),clearing and regrowth,disturbed,6,0.381355468,0.343054929,0.419656007
9,BDFFP (Cecropia),clearing and regrowth,disturbed,7,0.388517757,0.348068172,0.428967343
9,BDFFP (Cecropia),clearing and regrowth,disturbed,8,0.407249729,0.360661578,0.453837881
9,BDFFP (Cecropia),clearing and regrowth,disturbed,9,0.350198353,0.31023785,0.390158857
9,BDFFP (Cecropia),clearing and regrowth,disturbed,10,0.325390474,0.28513393,0.365647018
9,BDFFP (Cecropia),clearing and regrowth,disturbed,11,0.303540231,0.259030272,0.34805019
9,BDFFP (Cecropia),clearing and regrowth,disturbed,12,0.316131233,0.266910668,0.365351797
9,BDFFP (Cecropia),clearing and regrowth,disturbed,13,0.236634289,0.193212647,0.280055932
9,BDFFP (Cecropia),clearing and regrowth,disturbed,14,0.209540888,0.161553893,0.257527882
9,BDFFP (Cecropia),clearing and regrowth,disturbed,15,0.1509022,0.119680308,0.182124091
9,BDFFP (Cecropia),clearing and regrowth,disturbed,16,0.12538381,0.091468051,0.159299569
9,BDFFP (Cecropia),clearing and regrowth,disturbed,17,0.127419608,0.097276333,0.157562884
9,BDFFP (Cecropia),clearing and regrowth,disturbed,18,0.132549035,0.099561899,0.165536172
9,BDFFP (Cecropia),clearing and regrowth,disturbed,19,0.107283626,0.076678695,0.137888558
9,BDFFP (Cecropia),clearing and regrowth,disturbed,20,0.105278307,0.079688233,0.130868381
9,BDFFP (Cecropia),clearing and regrowth,disturbed,21,0.116512251,0.089733129,0.143291374
9,BDFFP (Cecropia),clearing and regrowth,disturbed,22,0.113670131,0.079488248,0.147852014
9,BDFFP (Cecropia),clearing and regrowth,disturbed,23,0.099684826,0.071832295,0.127537357
9,BDFFP (Cecropia),clearing and regrowth,disturbed,24,0.061965302,0.038252032,0.085678571
9,BDFFP (Cecropia),clearing and regrowth,disturbed,25,0.072929769,0.048547495,0.097312042
9,BDFFP (Cecropia),clearing and regrowth,disturbed,26,0.051252133,0.030271091,0.072233174
9,BDFFP (Cecropia),clearing and regrowth,disturbed,27,0.028710712,0.010781471,0.046639953
9,BDFFP (Cecropia),clearing and regrowth,disturbed,28,0.024456403,0.010563706,0.0383491
9,BDFFP (Cecropia),clearing and regrowth,disturbed,29,0.022825351,0.003400991,0.042249711
9,BDFFP (Cecropia),clearing and regrowth,disturbed,30,0.016860002,0.001157634,0.032562369
9,BDFFP (Cecropia),clearing and regrowth,disturbed,31,0.005915501,-0.001099323,0.012930325
9,BDFFP (Cecropia),clearing and regrowth,disturbed,32,0.002764319,-0.000668007,0.006196645
9,BDFFP (Cecropia),clearing and regrowth,disturbed,33,0.002755906,-0.002645669,0.008157481
9,BDFFP (Cecropia),clearing and regrowth,disturbed,34,0.001455243,-0.001397033,0.00430752
9,BDFFP (Cecropia),clearing and regrowth,disturbed,35,0,0,0
9,BDFFP (Cecropia),clearing and regrowth,disturbed,36,0,0,0
9,BDFFP (Cecropia),clearing and regrowth,disturbed,37,0,0,0
9,BDFFP (Cecropia),clearing and regrowth,disturbed,38,0,0,0
9,BDFFP (Cecropia),clearing and regrowth,disturbed,39,0,0,0
9,BDFFP (Cecropia),clearing and regrowth,disturbed,40,0,0,0
9,BDFFP (Cecropia),clearing and regrowth,disturbed,41,0,0,0
9,BDFFP (Cecropia),clearing and regrowth,disturbed,42,0,0,0
9,BDFFP (Cecropia),clearing and regrowth,disturbed,43,0,0,0
9,BDFFP (Cecropia),clearing and regrowth,disturbed,44,0,0,0
9,BDFFP (Cecropia),clearing and regrowth,disturbed,45,0,0,0
9,BDFFP (Cecropia),clearing and regrowth,disturbed,46,0,0,0
9,BDFFP (Cecropia),clearing and regrowth,disturbed,47,0,0,0
9,BDFFP (Cecropia),clearing and regrowth,disturbed,48,0,0,0
9,BDFFP (Cecropia),clearing and regrowth,disturbed,49,0,0,0
9,BDFFP (Cecropia),clearing and regrowth,disturbed,50,0,0,0
9,BDFFP (Cecropia),clearing and regrowth,disturbed,51,0,0,0
9,BDFFP (Cecropia),clearing and regrowth,disturbed,52,0,0,0
9,BDFFP (Cecropia),clearing and regrowth,disturbed,53,0,0,0
9,BDFFP (Cecropia),clearing and regrowth,disturbed,54,0,0,0
9,BDFFP (Cecropia),clearing and regrowth,disturbed,55,0,0,0
9,BDFFP (Cecropia),clearing and regrowth,disturbed,56,0,0,0
9,BDFFP (Cecropia),clearing and regrowth,disturbed,57,0,0,0
9,BDFFP (Cecropia),clearing and regrowth,disturbed,58,0,0,0
9,BDFFP (Cecropia),clearing and regrowth,disturbed,59,0,0,0
9,BDFFP (Cecropia),clearing and regrowth,disturbed,60,0,0,0
10,BDFFP (Florestal),clearing and regrowth,control,1,0,0,0
10,BDFFP (Florestal),clearing and regrowth,control,2,0,0,0
10,BDFFP (Florestal),clearing and regrowth,control,3,0.296969117,0.263289543,0.330648691
10,BDFFP (Florestal),clearing and regrowth,control,4,0.562783362,0.5146526,0.610914124
10,BDFFP (Florestal),clearing and regrowth,control,5,0.347694981,0.306958356,0.388431606
10,BDFFP (Florestal),clearing and regrowth,control,6,0.289056736,0.25212076,0.325992711
10,BDFFP (Florestal),clearing and regrowth,control,7,0.26939563,0.23106835,0.307722909
10,BDFFP (Florestal),clearing and regrowth,control,8,0.290764395,0.251321569,0.330207221
10,BDFFP (Florestal),clearing and regrowth,control,9,0.277327817,0.237307969,0.317347664
10,BDFFP (Florestal),clearing and regrowth,control,10,0.227287361,0.189946103,0.264628618
10,BDFFP (Florestal),clearing and regrowth,control,11,0.214351271,0.183167649,0.245534894
10,BDFFP (Florestal),clearing and regrowth,control,12,0.261657177,0.222558167,0.300756187
10,BDFFP (Florestal),clearing and regrowth,control,13,0.207154667,0.167980061,0.246329273
10,BDFFP (Florestal),clearing and regrowth,control,14,0.211266175,0.173378125,0.249154224
10,BDFFP (Florestal),clearing and regrowth,control,15,0.233408782,0.195227543,0.271590021
10,BDFFP (Florestal),clearing and regrowth,control,16,0.235282324,0.194475754,0.276088893
10,BDFFP (Florestal),clearing and regrowth,control,17,0.231675891,0.191087095,0.272264687
10,BDFFP (Florestal),clearing and regrowth,control,18,0.216949267,0.178532703,0.25536583
10,BDFFP (Florestal),clearing and regrowth,control,19,0.194436947,0.158920616,0.229953277
10,BDFFP (Florestal),clearing and regrowth,control,20,0.174375564,0.143279467,0.20547166
10,BDFFP (Florestal),clearing and regrowth,control,21,0.172476053,0.141415564,0.203536541
10,BDFFP (Florestal),clearing and regrowth,control,22,0.147052257,0.117533727,0.176570787
10,BDFFP (Florestal),clearing and regrowth,control,23,0.149217175,0.118379579,0.180054772
10,BDFFP (Florestal),clearing and regrowth,control,24,0.125535869,0.095068253,0.156003485
10,BDFFP (Florestal),clearing and regrowth,control,25,0.115958528,0.084414108,0.147502948
10,BDFFP (Florestal),clearing and regrowth,control,26,0.141696398,0.104211818,0.179180977
10,BDFFP (Florestal),clearing and regrowth,control,27,0.123634432,0.090725301,0.156543564
10,BDFFP (Florestal),clearing and regrowth,control,28,0.100532411,0.072339064,0.128725757
10,BDFFP (Florestal),clearing and regrowth,control,29,0.06072208,0.037410365,0.084033796
10,BDFFP (Florestal),clearing and regrowth,control,30,0.070303333,0.0492794,0.091327266
10,BDFFP (Florestal),clearing and regrowth,control,31,0.063508167,0.040041897,0.086974437
10,BDFFP (Florestal),clearing and regrowth,control,32,0.040219798,0.020880639,0.059558957
10,BDFFP (Florestal),clearing and regrowth,control,33,0.013272651,0.004415037,0.022130265
10,BDFFP (Florestal),clearing and regrowth,control,34,0.006339069,0.002556498,0.010121641
10,BDFFP (Florestal),clearing and regrowth,control,35,0.016974492,0.003270139,0.030678845
10,BDFFP (Florestal),clearing and regrowth,control,36,0.007595683,0.000637113,0.014554253
10,BDFFP (Florestal),clearing and regrowth,control,37,0.002147032,-0.000722376,0.005016441
10,BDFFP (Florestal),clearing and regrowth,control,38,0.004292386,-0.003103891,0.011688663
10,BDFFP (Florestal),clearing and regrowth,control,39,0.001854934,-0.001665556,0.005375424
10,BDFFP (Florestal),clearing and regrowth,control,40,0.000462105,-0.00044362,0.00136783
10,BDFFP (Florestal),clearing and regrowth,control,41,0.002002429,-0.00183825,0.005843109
10,BDFFP (Florestal),clearing and regrowth,control,42,0.000107389,-0.000103094,0.000317872
10,BDFFP (Florestal),clearing and regrowth,control,43,0,0,0
10,BDFFP (Florestal),clearing and regrowth,control,44,0,0,0
10,BDFFP (Florestal),clearing and regrowth,control,45,0,0,0
10,BDFFP (Florestal),clearing and regrowth,control,46,0,0,0
10,BDFFP (Florestal),clearing and regrowth,control,47,0,0,0
10,BDFFP (Florestal),clearing and regrowth,control,48,0,0,0
10,BDFFP (Florestal),clearing and regrowth,control,49,0,0,0
10,BDFFP (Florestal),clearing and regrowth,control,50,0,0,0
10,BDFFP (Florestal),clearing and regrowth,control,51,0,0,0
10,BDFFP (Florestal),clearing and regrowth,control,52,0,0,0
10,BDFFP (Florestal),clearing and regrowth,control,53,0,0,0
10,BDFFP (Florestal),clearing and regrowth,control,54,0,0,0
10,BDFFP (Florestal),clearing and regrowth,control,55,0,0,0
10,BDFFP (Florestal),clearing and regrowth,control,56,0,0,0
10,BDFFP (Florestal),clearing and regrowth,control,57,0,0,0
10,BDFFP (Florestal),clearing and regrowth,control,58,0,0,0
10,BDFFP (Florestal),clearing and regrowth,control,59,0,0,0
10,BDFFP (Florestal),clearing and regrowth,control,60,0,0,0
10,BDFFP (Vismia),clearing and regrowth,disturbed,1,0,0,0
10,BDFFP (Vismia),clearing and regrowth,disturbed,2,0,0,0
10,BDFFP (Vismia),clearing and regrowth,disturbed,3,0.203522875,0.177566206,0.229479544
10,BDFFP (Vismia),clearing and regrowth,disturbed,4,0.385259781,0.337622948,0.432896614
10,BDFFP (Vismia),clearing and regrowth,disturbed,5,0.380483651,0.336707003,0.4242603
10,BDFFP (Vismia),clearing and regrowth,disturbed,6,0.372400788,0.325868277,0.418933299
10,BDFFP (Vismia),clearing and regrowth,disturbed,7,0.385670607,0.336214405,0.435126809
10,BDFFP (Vismia),clearing and regrowth,disturbed,8,0.425055975,0.374487966,0.475623984
10,BDFFP (Vismia),clearing and regrowth,disturbed,9,0.430854304,0.375066256,0.486642352
10,BDFFP (Vismia),clearing and regrowth,disturbed,10,0.37997018,0.334496896,0.425443463
10,BDFFP (Vismia),clearing and regrowth,disturbed,11,0.376548035,0.323324289,0.429771782
10,BDFFP (Vismia),clearing and regrowth,disturbed,12,0.311096859,0.266919634,0.355274084
10,BDFFP (Vismia),clearing and regrowth,disturbed,13,0.261651298,0.215350312,0.307952284
10,BDFFP (Vismia),clearing and regrowth,disturbed,14,0.227945514,0.187418818,0.26847221
10,BDFFP (Vismia),clearing and regrowth,disturbed,15,0.237061013,0.190603367,0.283518659
10,BDFFP (Vismia),clearing and regrowth,disturbed,16,0.185251408,0.141907008,0.228595807
10,BDFFP (Vismia),clearing and regrowth,disturbed,17,0.16032317,0.118657395,0.201988944
10,BDFFP (Vismia),clearing and regrowth,disturbed,18,0.096548209,0.066890724,0.126205693
10,BDFFP (Vismia),clearing and regrowth,disturbed,19,0.061906191,0.039541382,0.084271001
10,BDFFP (Vismia),clearing and regrowth,disturbed,20,0.035191114,0.017198851,0.053183377
10,BDFFP (Vismia),clearing and regrowth,disturbed,21,0.033737657,0.015409525,0.05206579
10,BDFFP (Vismia),clearing and regrowth,disturbed,22,0.015783294,0.002806857,0.02875973
10,BDFFP (Vismia),clearing and regrowth,disturbed,23,0.008699147,0.001259857,0.016138437
10,BDFFP (Vismia),clearing and regrowth,disturbed,24,0.001756045,-0.001443627,0.004955717
10,BDFFP (Vismia),clearing and regrowth,disturbed,25,0.001153251,-0.001041467,0.003347968
10,BDFFP (Vismia),clearing and regrowth,disturbed,26,1.84E-05,-1.77E-05,5.45E-05
10,BDFFP (Vismia),clearing and regrowth,disturbed,27,0,0,0
10,BDFFP (Vismia),clearing and regrowth,disturbed,28,0,0,0
10,BDFFP (Vismia),clearing and regrowth,disturbed,29,0,0,0
10,BDFFP (Vismia),clearing and regrowth,disturbed,30,0,0,0
10,BDFFP (Vismia),clearing and regrowth,disturbed,31,0,0,0
10,BDFFP (Vismia),clearing and regrowth,disturbed,32,0,0,0
10,BDFFP (Vismia),clearing and regrowth,disturbed,33,0,0,0
10,BDFFP (Vismia),clearing and regrowth,disturbed,34,0,0,0
10,BDFFP (Vismia),clearing and regrowth,disturbed,35,0,0,0
10,BDFFP (Vismia),clearing and regrowth,disturbed,36,0,0,0
10,BDFFP (Vismia),clearing and regrowth,disturbed,37,0,0,0
10,BDFFP (Vismia),clearing and regrowth,disturbed,38,0,0,0
10,BDFFP (Vismia),clearing and regrowth,disturbed,39,0,0,0
10,BDFFP (Vismia),clearing and regrowth,disturbed,40,0,0,0
10,BDFFP (Vismia),clearing and regrowth,disturbed,41,0,0,0
10,BDFFP (Vismia),clearing and regrowth,disturbed,42,0,0,0
10,BDFFP (Vismia),clearing and regrowth,disturbed,43,0,0,0
10,BDFFP (Vismia),clearing and regrowth,disturbed,44,0,0,0
10,BDFFP (Vismia),clearing and regrowth,disturbed,45,0,0,0
10,BDFFP (Vismia),clearing and regrowth,disturbed,46,0,0,0
10,BDFFP (Vismia),clearing and regrowth,disturbed,47,0,0,0
10,BDFFP (Vismia),clearing and regrowth,disturbed,48,0,0,0
10,BDFFP (Vismia),clearing and regrowth,disturbed,49,0,0,0
10,BDFFP (Vismia),clearing and regrowth,disturbed,50,0,0,0
10,BDFFP (Vismia),clearing and regrowth,disturbed,51,0,0,0
10,BDFFP (Vismia),clearing and regrowth,disturbed,52,0,0,0
10,BDFFP (Vismia),clearing and regrowth,disturbed,53,0,0,0
10,BDFFP (Vismia),clearing and regrowth,disturbed,54,0,0,0
10,BDFFP (Vismia),clearing and regrowth,disturbed,55,0,0,0
10,BDFFP (Vismia),clearing and regrowth,disturbed,56,0,0,0
10,BDFFP (Vismia),clearing and regrowth,disturbed,57,0,0,0
10,BDFFP (Vismia),clearing and regrowth,disturbed,58,0,0,0
10,BDFFP (Vismia),clearing and regrowth,disturbed,59,0,0,0
10,BDFFP (Vismia),clearing and regrowth,disturbed,60,0,0,0
11,TNF K83,clearing and regrowth,control,1,0,0,0
11,TNF K83,clearing and regrowth,control,2,0,0,0
11,TNF K83,clearing and regrowth,control,3,0.006755215,0.000519724,0.012990706
11,TNF K83,clearing and regrowth,control,4,0.181012304,0.106781703,0.255242905
11,TNF K83,clearing and regrowth,control,5,0.323491128,0.262230897,0.38475136
11,TNF K83,clearing and regrowth,control,6,0.319321948,0.209269062,0.429374834
11,TNF K83,clearing and regrowth,control,7,0.192395225,0.109419731,0.275370719
11,TNF K83,clearing and regrowth,control,8,0.24732063,0.152026252,0.342615009
11,TNF K83,clearing and regrowth,control,9,0.269831225,0.159603712,0.380058738
11,TNF K83,clearing and regrowth,control,10,0.296410095,0.133397839,0.459422351
11,TNF K83,clearing and regrowth,control,11,0.299194233,0.223670876,0.37471759
11,TNF K83,clearing and regrowth,control,12,0.245598048,0.159644657,0.33155144
11,TNF K83,clearing and regrowth,control,13,0.270264551,0.15205928,0.388469823
11,TNF K83,clearing and regrowth,control,14,0.255568488,0.144406667,0.36673031
11,TNF K83,clearing and regrowth,control,15,0.300835,0.218111588,0.383558412
11,TNF K83,clearing and regrowth,control,16,0.24589258,0.158565635,0.333219525
11,TNF K83,clearing and regrowth,control,17,0.274370068,0.177397723,0.371342414
11,TNF K83,clearing and regrowth,control,18,0.267193376,0.111030751,0.423356002
11,TNF K83,clearing and regrowth,control,19,0.272419602,0.157777118,0.387062085
11,TNF K83,clearing and regrowth,control,20,0.246140848,0.157224946,0.33505675
11,TNF K83,clearing and regrowth,control,21,0.219418048,0.14583513,0.293000966
11,TNF K83,clearing and regrowth,control,22,0.193555574,0.115883978,0.27122717
11,TNF K83,clearing and regrowth,control,23,0.205643478,0.10712235,0.304164605
11,TNF K83,clearing and regrowth,control,24,0.115477477,0.041799693,0.18915526
11,TNF K83,clearing and regrowth,control,25,0.160909331,0.066781665,0.255036996
11,TNF K83,clearing and regrowth,control,26,0.102468117,0.03840187,0.166534364
11,TNF K83,clearing and regrowth,control,27,0.105171439,0.011355921,0.198986957
11,TNF K83,clearing and regrowth,control,28,0.051038426,0.009724604,0.092352248
11,TNF K83,clearing and regrowth,control,29,0.046520761,0.007323354,0.085718167
11,TNF K83,clearing and regrowth,control,30,0.059217685,0.002647949,0.115787421
11,TNF K83,clearing and regrowth,control,31,0.02489455,-0.003779582,0.053568682
11,TNF K83,clearing and regrowth,control,32,0.006087115,-0.001934699,0.01410893
11,TNF K83,clearing and regrowth,control,33,0.0147528,-0.011289811,0.040795412
11,TNF K83,clearing and regrowth,control,34,0.003967044,-0.000982815,0.008916902
11,TNF K83,clearing and regrowth,control,35,0.001307041,-0.001044874,0.003658957
11,TNF K83,clearing and regrowth,control,36,0.005103698,-0.000764381,0.010971776
11,TNF K83,clearing and regrowth,control,37,0.011984569,0.000279872,0.023689266
11,TNF K83,clearing and regrowth,control,38,0.031182925,-0.002888182,0.065254031
11,TNF K83,clearing and regrowth,control,39,0.064956789,-0.032182631,0.162096209
11,TNF K83,clearing and regrowth,control,40,0.007469512,-0.002869356,0.01780838
11,TNF K83,clearing and regrowth,control,41,0.006728151,-0.005055712,0.018512015
11,TNF K83,clearing and regrowth,control,42,0,0,0
11,TNF K83,clearing and regrowth,control,43,0,0,0
11,TNF K83,clearing and regrowth,control,44,0.005456517,-0.005238256,0.01615129
11,TNF K83,clearing and regrowth,control,45,0.001056013,-0.001013773,0.003125799
11,TNF K83,clearing and regrowth,control,46,0,0,0
11,TNF K83,clearing and regrowth,control,47,0,0,0
11,TNF K83,clearing and regrowth,control,48,0,0,0
11,TNF K83,clearing and regrowth,control,49,0,0,0
